RatingID;Rating;RatingCount;ProductID
624;4.1;5179;B09ZQK9X8G
625;4.5;5081;B08ZJDWTJ1
626;3.7;3369;B08FTFXNNB
627;3.5;11827;B08YDFX7Y1
628;4.2;94364;B08HDJ86NZ
629;3.5;15295;B087FXHB6J
630;4.3;27139;B07N42JB4S
631;3.9;9504;B0B31BYXQQ
632;4.2;16905;B08CF3B7N1
633;4.3;30058;B07SLMR1K6
634;4.2;69619;B09MQSCJQ1
635;4.0;3382;B094YFFSMY
636;4.1;109864;B092X94QNQ
637;4.5;576;B0846D5CBP
638;4.2;49551;B00KXULGJQ
639;4.1;161677;B08H9Z3XQW
640;3.9;21372;B08LPJZSSW
641;4.3;140035;B09MT84WV5
642;3.9;2487;B08Y1TFSP6
643;4.0;7199;B08CYPB15D
644;4.0;1396;B085HY1DGR
645;3.5;15233;B00MFPCY5C
646;4.3;55747;B07JJFSG2B
647;3.8;14961;B09NR6G588
648;4.4;9275;B07JPX9CR7
649;3.7;28324;B08D11DZ2W
650;4.4;644;B07Q7561HD
651;4.4;18139;B0819HZPXL
652;4.4;7203;B00LXTFMRS
653;4.2;491;B0B9LDCX89
654;4.5;13568;B0765B3TH7
655;3.8;339;B0B1F6GQPS
656;3.8;103052;B07LG59NPV
657;4.1;18678;B07RD611Z8
658;4.1;15189;B08WRWPM22
659;4.4;12179;B00AXHBBXU
660;3.8;12958;B08MCD9JFY
661;4.2;8258;B083RCTXLL
662;4.1;11716;B08HLZ28QC
663;4.4;35024;B07GVR9TG7
664;4.1;55192;B0856HY85J
665;4.1;119466;B07CD2BN46
666;3.5;9638;B07PLHTTB4
667;3.6;33735;B077T3BG5L
668;4.3;30411;B08DDRGWTJ
669;3.8;3044;B079Y6JZC8
670;4.0;33584;B0856HNMR7
671;3.9;1779;B0B12K5BPM
672;4.1;5999;B08MTCKDYN
673;4.3;13391;B08CF3D7QR
674;4.4;26556;B00LVMTA2A
675;4.3;25903;B07TR5HSR9
676;4.3;53464;B0819ZZK5K
677;4.1;48448;B096VF5YYF
678;4.4;5176;B08QJJCY2Q
679;4.4;8614;B07L5L4GTB
680;3.8;60026;B07L8KNP5F
681;3.8;3066;B08CF4SCNP
682;4.0;2102;B09XX51X2G
683;4.4;34852;B01M72LILF
684;4.4;426972;B07KSMBL2H
685;4.5;8618;B00LZLQ624
686;4.0;32625;B07DJLFMPS
687;4.0;4018;B09GB5B4BK
688;4.3;11687;B015ZXUDD0
689;4.2;2262;B085DTN6R2
690;3.8;11015;B09PL79D2X
691;4.3;95116;B098K3H92Z
692;4.1;4768;B09KLVMZ3B
693;4.3;23022;B084PJSSQ1
694;4.0;67951;B097R25DP7
695;4.3;4426;B097C564GC
696;4.2;4567;B08CYNJ5KY
697;4.0;13797;B00Y4ORQ46
